nr	length	ratio
662	71043	2.53119322
663	71194	2.53197240
664	71371	2.53241316
665	71465	2.53269306
666	71741	2.53349578
667	72013	2.53245885
668	72091	2.53244107
669	72228	2.53289381
670	72455	2.53294879
671	72585	2.53315418
672	72827	2.53364180
673	72891	2.53384086
674	72994	2.53363415
675	73219	2.53291590
676	73329	2.53304086
677	73487	2.53342297
678	73601	2.53412064
679	73762	2.53390587
680	73882	2.53411079
681	74036	2.53383073
682	74172	2.53432193
683	74234	2.53453515
684	74378	2.53469193
685	74429	2.53427083
686	74554	2.53567785
687	74616	2.53597526
688	74706	2.53627567
689	74793	2.53544188
690	74840	2.53454348
691	74938	2.53442911
692	75041	2.53431273
693	75095	2.53425351
694	75219	2.53305270
695	75310	2.53296112
696	75352	2.53335126
697	75368	2.53320785
698	75558	2.53397277
699	75641	2.53369733
700	75726	2.53348946
701	75782	2.53315951
702	75887	2.53319758
703	76022	2.53381329
704	76100	2.53269877
705	76226	2.53049165
706	76380	2.52980922
707	76408	2.52981492
708	76539	2.52971311
709	76602	2.52912044
710	76686	2.52838773
711	76830	2.52755206
712	76877	2.52735223
713	76985	2.52525750
714	77204	2.52556511
715	77272	2.52555890
716	77520	2.52573961
717	77791	2.52715873
718	77826	2.52731052
719	77908	2.52783907
720	77949	2.52761114
721	78045	2.52769141
722	78117	2.52732214
723	78234	2.52734615
724	78496	2.52715624
725	78589	2.52762769
726	78664	2.52760105
727	78701	2.52740936
728	78759	2.52724297
729	78880	2.52707119
730	78978	2.52721513
731	79098	2.52741564
732	79169	2.52710036
733	79357	2.52809812
734	79391	2.52797325
735	79511	2.52801094
736	79549	2.52801347
737	79673	2.52841865
738	79851	2.52861079
739	79970	2.52965552
740	80364	2.52804429
741	80388	2.52808353
742	80465	2.52811989
743	80588	2.52888568
744	80646	2.52903914
745	80795	2.52895330
746	80876	2.52863932
747	81046	2.52873635
748	81108	2.52869836
749	81159	2.52879043
750	81237	2.52885693
751	81296	2.52864697
752	81368	2.52852704
753	81441	2.52828139
754	81598	2.52805403
755	81694	2.52758269
756	81797	2.52623614
757	81831	2.52627192
758	81878	2.52616315
759	81944	2.52555014
760	81978	2.52535272
761	82073	2.52493463
762	82206	2.52428914
763	82230	2.52432847
764	82304	2.52520480
765	82372	2.52519926
766	82507	2.52554409
767	82594	2.52588764
768	82736	2.52636722
769	82778	2.52602991
770	82856	2.52563555
771	82927	2.52541341
772	82994	2.52560786
773	83116	2.52563129
774	83166	2.52561572
775	83263	2.52534045
776	83289	2.52520996
777	83346	2.52517724
778	83446	2.52491755
779	83540	2.52485871
780	83638	2.52499698
781	83694	2.52493438
782	83717	2.52509501
783	83766	2.52504974
784	83866	2.52509560
785	83926	2.52530541
786	83977	2.52554810
787	84047	2.52658951
788	84106	2.52760331
789	84215	2.52685430
790	84247	2.52675304
791	84360	2.52680764
792	84411	2.52682153
793	84475	2.52677076
794	84577	2.52702501
795	84612	2.52716466
796	84770	2.52780677
797	84884	2.52804003
798	85042	2.52815268
799	85093	2.52824078
800	85198	2.52865580
801	85280	2.52861294
802	85408	2.52813545
803	85452	2.52831528
804	85642	2.52728185
805	85787	2.52730969
806	85849	2.52749809
807	85993	2.52757040
808	86053	2.52747672
809	86157	2.52793263
810	86186	2.52796762
811	86224	2.52811822
812	86271	2.52793975
813	86455	2.52762835
814	86577	2.52897704
815	86691	2.52898276
816	86825	2.52824530
817	86931	2.52743131
818	87015	2.52796258
819	87128	2.52779390
820	87275	2.52780513
821	87309	2.52776491
822	87339	2.52753581
823	87498	2.52847854
824	87554	2.52885449
825	87582	2.52885976
826	87703	2.52892157
827	87722	2.52881317
828	87762	2.52850846
829	87906	2.52872307
830	88045	2.52973796
831	88289	2.53006075
832	88408	2.52948413
833	88477	2.52928733
834	88518	2.52944706
835	88545	2.52942353
836	88610	2.53026842
837	88747	2.53020670
838	88802	2.53047616
839	88872	2.53052392
840	88958	2.53037888
841	89009	2.53103762
842	89067	2.53182296
843	89099	2.53165312
844	89132	2.53129615
845	89179	2.53155250
846	89257	2.53196982
847	89316	2.53199150
848	89391	2.53203603
849	89487	2.53267484
850	89584	2.53319760
851	89607	2.53298847
852	89708	2.53326556
853	89800	2.53378855
854	89853	2.53399701
855	89932	2.53493813
856	90031	2.53522753
857	90185	2.53563697
858	90263	2.53583368
859	90380	2.53705367
860	90564	2.53794418
861	90604	2.53792717
862	90666	2.53753149
863	90758	2.53733680
864	90877	2.53669225
865	90954	2.53629291
866	91036	2.53652828
867	91076	2.53637073
868	91213	2.53616016
869	91319	2.53685029
870	91438	2.53571825
871	91539	2.53549567
872	91618	2.53522608
873	91666	2.53459050
874	91702	2.53439461
875	91727	2.53445513
876	91750	2.53474045
877	91764	2.53449704
878	91780	2.53437897
879	91911	2.53407775
880	91958	2.53432548
881	92000	2.53408621
882	92230	2.53393044
883	92277	2.53369028
884	92401	2.53264445
885	92458	2.53274894
886	92502	2.53249740
887	92648	2.53198874
888	93095	2.51689737
889	93226	2.51608550
890	93329	2.51682757
891	93415	2.51717820
892	93488	2.51717824
893	93566	2.51690652
